kdnr;geschlecht;firmenname;nachname;vorname;strasse;hausnr;zusatz;plz;ort;vorwahl;telefon;email;url;branche;beruf
"1000000000";"M";"Bäckerei Lohmann";"Bieringer";"Dagobert";"Friedhofweg";"24";"";"93326";"Abensberg, Hallertau";"09443";"790603";"Bieringer.Da@yahoo.com";"http://www.Bieringer_Da.de";"Rechtsanwälte: Immobilien- u. Maklerrecht (Schwerpunkt)";""
"1000000001";"M";"Gefu Bike";"Lindenberg";"Merten";"Habichtweg";"11";"";"93326";"Abensberg, Hallertau";"09443";"211913";"Lindenberg.Me@yahoo.com";"http://www.Lindenberg_Me.de";"Lotto- u. Totoannahmestellen";""
"1000000002";"M";"Reformhaus Joachim Escher";"Piegert";"Eckert";"Alfons-Listl-Str.";"7";"";"93326";"Abensberg, Hallertau";"09443";"49304";"Piegert.Ec@gmx.de";"http://www.Piegert_Ec.de";"Bergbahnen";""
"1000000003";"F";"Ehrl";"Schröter";"Virginia";"Am Fürst";"7";"c";"93326";"Abensberg, Hallertau";"09443";"230536";"Schröter.Vi@gmail.com";"http://www.Schröter_Vi.de";"Kaminkehrer";""
"1000000004";"M";"Deichmann Verwaltung";"Braune";"Ekkardt";"Richtstättstr.";"1";"";"93326";"Abensberg, Hallertau";"09443";"954735";"Braune.Ek@gmail.com";"http://www.Braune_Ek.de";"Sport";""
"1000000005";"M";"Hiebers Lädele";"Best";"Egidius";"Oskar-Schlitter-Ring";"27";"";"93326";"Abensberg, Hallertau";"09443";"576519";"Best.Eg@gmail.com";"http://www.Best_Eg.de";"Garni";""
"1000000006";"F";"Oststadt Super-Bio-Markt";"Scheidl";"Hiltraut";"Mayrstr.";"5";"";"93326";"Abensberg, Hallertau";"09443";"460493";"Scheidl.Hi@yahoo.com";"http://www.Scheidl_Hi.de";"Häckseldienste";""
"1000000007";"-";"Vollkornbäckerei Mahlzahn";"Hornung";"Tom";"Raiffeisenstr.";"7";"";"93326";"Abensberg, Hallertau";"09443";"190985";"Hornung.To@t-online.de";"http://www.Hornung_To.de";"Garten- u. Landschaftsplanung";""
"1000000008";"F";"Dorfladen Grieser Bäckerei-Stehcafé";"Leyh";"Adelinde";"Raiffeisenstr.";"12";"";"93326";"Abensberg, Hallertau";"09443";"632010";"Leyh.Ad@yahoo.com";"http://www.Leyh_Ad.de";"Dachbaustoffe";""
"1000000009";"F";"Japan shop";"Klingbeil";"Sindy";"Am Straßfeld";"9";"";"93326";"Abensberg, Hallertau";"09443";"800263";"Klingbeil.Si@web.de";"http://www.Klingbeil_Si.de";"CNC-Fräsen";""
"1000000010";"-";"Treffpunkt lesen";"Kümmele";"Stella";"BTS an der KEH7 FlNr.195";"";"";"93326";"Abensberg, Hallertau";"09443";"708011";"Kümmele.St@gmx.de";"http://www.Kümmele_St.de";"Betonfräsen";""
"1000000011";"M";"Lay Thai Traditionelle Thaimassage";"Schupfner";"Immanuel";"Arnostr.";"5";"";"93326";"Abensberg, Hallertau";"09443";"890904";"Schupfner.Im@web.de";"http://www.Schupfner_Im.de";"Ärzte: Endokrinologie";""
"1000000012";"-";"AZ/AN-Ticketshop";"Keim";"Marianne";"Steinweg";"3";"";"93326";"Abensberg, Hallertau";"09443";"611711";"Keim.Ma@web.de";"http://www.Keim_Ma.de";"Lecksuchdienste";""
"1000000013";"-";"Lührsbockel";"Kirchdörfer";"Annelies";"Im Mühltal";"2";"";"93326";"Abensberg, Hallertau";"09443";"826523";"Kirchdörfer.An@web.de";"http://www.Kirchdörfer_An.de";"Pflegedienstorganisation";""
"1000000014";"M";"Weinspiegel";"Polak";"Burkardt";"Hauptstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"725408";"Polak.Bu@gmail.com";"http://www.Polak_Bu.de";"Formblätterverlage";""
"1000000015";"-";"Paulitz";"Hölzleshof";"Freiwald";"Freibadstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"331011";"Hölzleshof.Fr@gmx.de";"http://www.Hölzleshof_Fr.de";"Pflegedienste";""
"1000000016";"M";"Wäscherei Rahtjen";"Kirchesch";"Luitpold";"Am Schmiedweiher";"32";"a";"93326";"Abensberg, Hallertau";"09443";"397056";"Kirchesch.Lu@yahoo.com";"http://www.Kirchesch_Lu.de";"Torreparaturen";""
"1000000017";"F";"mittag Korkstudio";"Kleinhenz";"Wintrud";"Pumpwerk Schwaighausen";"";"";"93326";"Abensberg, Hallertau";"09443";"919368";"Kleinhenz.Wi@t-online.de";"http://www.Kleinhenz_Wi.de";"Grafische Datenverarbeitung";""
"1000000018";"F";"Naafi (britisches Einkaufszentrum)";"Feller";"Noa";"Lindensiedlung";"15";"";"93326";"Abensberg, Hallertau";"09443";"445739";"Feller.No@web.de";"http://www.Feller_No.de";"Heizelemente";""
"1000000019";"F";"Schuh Kok";"Mertes";"Stephanie";"Heideweg";"2";"";"93326";"Abensberg, Hallertau";"09443";"556396";"Mertes.St@web.de";"http://www.Mertes_St.de";"Fotokopierer";""
"1000000020";"F";"Die Schatztruhe";"Ganser";"Richardis";"Moststr.";"32";"";"93326";"Abensberg, Hallertau";"09443";"674666";"Ganser.Ri@yahoo.com";"http://www.Ganser_Ri.de";"Haus- u. Küchengerätereparaturen";""
"1000000021";"M";"Weinhof Neukirchen - Gut Lübisrath";"Behr";"Vinzenz";"Im Mühltal";"4";"";"93326";"Abensberg, Hallertau";"09443";"229770";"Behr.Vi@yahoo.com";"http://www.Behr_Vi.de";"Seniorenpflege";""
"1000000022";"F";"Jeans And More";"Bedner";"Mercedes";"Löffelholzstr.";"10";"b";"93326";"Abensberg, Hallertau";"09443";"390879";"Bedner.Me@web.de";"http://www.Bedner_Me.de";"Wertpapiermakler";""
"1000000023";"-";"ESSO Station & Shop";"Ruckriegel";"Ferhard";"Schlotweg";"10";"";"93326";"Abensberg, Hallertau";"09443";"64428";"Ruckriegel.Fe@web.de";"http://www.Ruckriegel_Fe.de";"Fahrzeugwerbung";""
"1000000024";"F";"Lollli Geschenkeladen";"Kippes";"Adeltraut";"Silvanerstr.";"2";"";"93326";"Abensberg, Hallertau";"09443";"787741";"Kippes.Ad@t-online.de";"http://www.Kippes_Ad.de";"Automarkt Oberbayern, DAIHATSU";""
"1000000025";"-";"Schröck";"Klasen";"Adina";"Hopfenstr";"";"";"93326";"Abensberg, Hallertau";"09443";"513812";"Klasen.Ad@web.de";"http://www.Klasen_Ad.de";"Arbeiterunterkünfte";""
"1000000026";"-";"Schütte Moden";"Schlader";"Wolfrid";"Birkenstr.";"10";"";"93326";"Abensberg, Hallertau";"09443";"968889";"Schlader.Wo@gmx.de";"http://www.Schlader_Wo.de";"Gaststätten: Biergärten";""
"1000000027";"-";"Malfuf";"Riewe";"Gitte";"Gerhardingerstr.";"3";"";"93326";"Abensberg, Hallertau";"09443";"927585";"Riewe.Gi@gmail.com";"http://www.Riewe_Gi.de";"Tierärzte: Fachtierärzte f. Innere Medizin Teilgebiet Dermatologie";""
"1000000028";"-";"Lange Optik";"Knab";"Dietram";"Oskar-Schlitter-Ring";"5";"";"93326";"Abensberg, Hallertau";"09443";"586011";"Knab.Di@onlinehome.de";"http://www.Knab_Di.de";"Notbeleuchtung";""
"1000000029";"-";"Café Esser";"De Felice";"Karlhans";"Seeweg";"14";"";"93326";"Abensberg, Hallertau";"09443";"574176";"De Felice.Ka@t-online.de";"http://www.De Felice_Ka.de";"Fässer";""
"1000000030";"-";"Deutsche Telekom - t-punkt";"Gschossmann";"Bertin";"Erikaweg";"9";"a";"93326";"Abensberg, Hallertau";"09443";"533163";"Gschossmann.Be@gmx.de";"http://www.Gschossmann_Be.de";"Papiersäcke u. -beutel";""
"1000000031";"-";"Richter Holzkunst";"Hack";"Delf";"In der Talau";"9";"";"93326";"Abensberg, Hallertau";"09443";"925710";"Hack.De@web.de";"http://www.Hack_De.de";"Brandschutztüren";""
"1000000032";"-";"Stahl";"Sander";"Cai";"Am Schlott/V.Steinberg";"";"";"93326";"Abensberg, Hallertau";"09443";"79211";"Sander.Ca@yahoo.com";"http://www.Sander_Ca.de";"Rechtsanwälte: Deutsch-österreichisches Recht (Schwerpunkt)";""
"1000000033";"-";"Polo - Motorrad";"Weißenborn";"Bertina";"BG A68";"";"";"93326";"Abensberg, Hallertau";"09443";"804919";"Weißenborn.Be@onlinehome.de";"http://www.Weißenborn_Be.de";"Konfliktberatung";""
"1000000034";"F";"Friseur Team Weißpflog";"Klughardt";"Nadeschda";"Schwaighausener Weg";"2";"";"93326";"Abensberg, Hallertau";"09443";"122595";"Klughardt.Na@yahoo.com";"http://www.Klughardt_Na.de";"Bootslacke";""
"1000000035";"-";"Stadtgalerie";"Linsenmeyer";"Tristan";"Osterriedergasse";"13";"";"93326";"Abensberg, Hallertau";"09443";"898067";"Linsenmeyer.Tr@gmail.com";"http://www.Linsenmeyer_Tr.de";"Standesämter";""
"1000000036";"F";"Kosmetik Praxis C. Lotze‎";"Bielefeld";"Friedegunde";"Buchenstr.";"2";"a";"93326";"Abensberg, Hallertau";"09443";"543551";"Bielefeld.Fr@t-online.de";"http://www.Bielefeld_Fr.de";"Travestie";""
"1000000037";"-";"Zeppelin-Apotheke";"Regn";"Adelgunde";"Stadionstr.";"48";"";"93326";"Abensberg, Hallertau";"09443";"374462";"Regn.Ad@gmx.de";"http://www.Regn_Ad.de";"Haustürrenovierungen";""
"1000000038";"F";"TEEater";"Brügel";"Caroline";"Gartenstr.";"502";"";"93326";"Abensberg, Hallertau";"09443";"274105";"Brügel.Ca@yahoo.com";"http://www.Brügel_Ca.de";"Viehhandel";""
"1000000039";"-";"Feinbäckerei Schroth";"Abram";"Elmar";"Freibadstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"8632";"Abram.El@gmx.de";"http://www.Abram_El.de";"Mousepads";""
"1000000040";"M";"Carl Langerfeldt";"Flassak";"Wilmhard";"Frühlingstr.";"15";"";"93326";"Abensberg, Hallertau";"09443";"725506";"Flassak.Wi@gmail.com";"http://www.Flassak_Wi.de";"EDV-Dienstleistungen";""
"1000000041";"-";"Grabmale Rongen Kaarst";"Guhl";"Ehrentraud";"Oexlau";"";"";"93326";"Abensberg, Hallertau";"09443";"407535";"Guhl.Eh@t-online.de";"http://www.Guhl_Eh.de";"Posters";""
"1000000042";"M";"Metzgerei Fleischle";"Hermeter";"Freddy";"Edelhardgasse";"8";"";"93326";"Abensberg, Hallertau";"09443";"846926";"Hermeter.Fr@gmx.de";"http://www.Hermeter_Fr.de";"Statistik";""
"1000000043";"-";"Immer Flott";"Eckert";"Nadja";"Theodor-Körner-Str.";"1";"";"93326";"Abensberg, Hallertau";"09443";"160890";"Eckert.Na@gmx.de";"http://www.Eckert_Na.de";"Getränkevertrieb";""
"1000000044";"M";"Grasshoppers";"Haak";"Helmut";"Bahnhofstr.";"";"";"93326";"Abensberg, Hallertau";"09443";"139450";"Haak.He@t-online.de";"http://www.Haak_He.de";"Brunnensanierung";""
"1000000045";"M";"Stern-Sanitätshaus am Hasselbachplatz";"Seidler";"Friedwin";"Kurze Str.";"3";"c";"93326";"Abensberg, Hallertau";"09443";"853301";"Seidler.Fr@web.de";"http://www.Seidler_Fr.de";"Schachspiele u. -zubehör";""
"1000000046";"F";"M. Schäfer";"Holzwarth";"Christl";"DT-Mobil";"";"";"93326";"Abensberg, Hallertau";"09443";"981236";"Holzwarth.Ch@gmail.com";"http://www.Holzwarth_Ch.de";"Ärzte: Bioresonanz-Therapie";""
